# Class	Pfam Accession	Family	Summary
# 
Other Biosynthetic	PF01656		CobQ/CobB/MinD/ParA nucleotide binding domain
Other Biosynthetic	PF01408		Oxidoreductase family, NAD-binding Rossmann fold
Other Biosynthetic	PF00296		Luciferase-like monooxygenase
Other Biosynthetic	PF02706		Chain length determinant protein
Other Biosynthetic	PF12146		Putative lysophospholipase
Other Biosynthetic	PF02803		Thiolase, C-terminal domain
Other Biosynthetic	PF05199		GMC oxidoreductase
Other Biosynthetic	PF00108		Thiolase, N-terminal domain
Other Biosynthetic	PF11930		Domain of unknown function (DUF3448)
Other Biosynthetic	PF00171		Aldehyde dehydrogenase family
Other Biosynthetic	PF04324		BFD-like [2Fe-2S] binding domain
Other Biosynthetic	PF00465		Iron-containing alcohol dehydrogenase
Other Biosynthetic	PF00903		Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
Other Biosynthetic	PF00202		Aminotransferase class-III
Other Biosynthetic	PF00743		Flavin-binding monooxygenase-like
Other Biosynthetic	PF00908		dTDP-4-dehydrorhamnose 3,5-epimerase
Other Biosynthetic	PF02826		D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
Other Biosynthetic	PF00266		Aminotransferase class-V
Other Biosynthetic	PF00732		GMC oxidoreductase
Other Biosynthetic	PF02397		Bacterial sugar transferase
Other Biosynthetic	PF00148		Nitrogenase component 1 type Oxidoreductase
Other Biosynthetic	PF00111		2Fe-2S iron-sulfur cluster binding domain
Other Biosynthetic	PF00890		FAD binding domain
Other Biosynthetic	PF08242		Methyltransferase domain
Other Biosynthetic	PF00725		3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
Other Biosynthetic	PF00037		4Fe-4S binding domain
Other Biosynthetic	PF00389		D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
Other Biosynthetic	PF07883		Cupin domain
Other Biosynthetic	PF02894		Oxidoreductase family, C-terminal alpha/beta domain
Other Biosynthetic	PF02719		Polysaccharide biosynthesis protein
Other Biosynthetic	PF07859		alpha/beta hydrolase fold
Other Biosynthetic	PF00248		Aldo/keto reductase family
Other Biosynthetic	PF01636		Phosphotransferase enzyme family
Other Biosynthetic	PF11716		Mycothiol maleylpyruvate isomerase N-terminal domain
Other Biosynthetic	PF00355		Rieske [2Fe-2S] domain
Other Biosynthetic	PF00756		Putative esterase
Other Biosynthetic	PF01757		Acyltransferase family
Other Biosynthetic	PF00069		Protein kinase domain
Other Biosynthetic	PF01075		Glycosyltransferase family 9 (heptosyltransferase)
Other Biosynthetic	PF04072		Leucine carboxyl methyltransferase
Other Biosynthetic	PF07977		FabA-like domain
Other Biosynthetic	PF03061		Thioesterase superfamily
Other Biosynthetic	PF02350		UDP-N-acetylglucosamine 2-epimerase
Other Biosynthetic	PF02737		3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
Other Biosynthetic	PF01053		Cys/Met metabolism PLP-dependent enzyme
Other Biosynthetic	PF00702		haloacid dehalogenase-like hydrolase
Other Biosynthetic	PF04183		IucA / IucC family
Other Biosynthetic	PF02775		Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
Other Biosynthetic	PF04932		O-Antigen ligase
Other Biosynthetic	PF09699		Doubled CXXCH motif (Paired_CXXCH_1)
Other Biosynthetic	PF00293		NUDIX domain
Other Biosynthetic	PF00934		PE family
Other Biosynthetic	PF01442		Apolipoprotein A1/A4/E domain
Other Biosynthetic	PF00881		Nitroreductase family
Other Biosynthetic	PF02563		Polysaccharide biosynthesis/export protein
Other Biosynthetic	PF01796		DUF35 OB-fold domain
Other Biosynthetic	PF12002		MgsA AAA+ ATPase C terminal
Other Biosynthetic	PF03060		2-nitropropane dioxygenase
Other Biosynthetic	PF01648		4'-phosphopantetheinyl transferase superfamily
Other Biosynthetic	PF10604		Polyketide cyclase / dehydrase and lipid transport
Other Biosynthetic	PF01565		FAD binding domain
Other Biosynthetic	PF02776		Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
Other Biosynthetic	PF02310		B12 binding domain
Other Biosynthetic	PF00144		Beta-lactamase
Other Biosynthetic	PF00733		Asparagine synthase
Other Biosynthetic	PF01050		Mannose-6-phosphate isomerase
Other Biosynthetic	PF03033		Glycosyltransferase family 28 N-terminal domain
Other Biosynthetic	PF01070		FMN-dependent dehydrogenase
Other Biosynthetic	PF00348		Polyprenyl synthetase
Other Biosynthetic	PF00494		Squalene/phytoene synthase
Other Biosynthetic	PF00393		6-phosphogluconate dehydrogenase, C-terminal domain
Other Biosynthetic	PF02388		FemAB family
Other Biosynthetic	PF02668		Taurine catabolism dioxygenase TauD, TfdA family
Other Biosynthetic	PF08415		Nonribosomal peptide synthase
Other Biosynthetic	PF01553		Acyltransferase
Other Biosynthetic	PF00142		4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family
Other Biosynthetic	PF00425		chorismate binding enzyme
Other Biosynthetic	PF00201		UDP-glucoronosyl and UDP-glucosyl transferase
Other Biosynthetic	PF00857		Isochorismatase family
Other Biosynthetic	PF02852		Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
Other Biosynthetic	PF01613		Flavin reductase like domain
Other Biosynthetic	PF05175		Methyltransferase small domain
Other Biosynthetic	PF02876		Staphylococcal/Streptococcal toxin, beta-grasp domain
Other Biosynthetic	PF01037		AsnC family
Other Biosynthetic	PF02492		CobW/HypB/UreG, nucleotide-binding domain
Other Biosynthetic	PF00953		Glycosyl transferase family 4
Other Biosynthetic	PF01979		Amidohydrolase family
Other Biosynthetic	PF01575		MaoC like domain
Other Biosynthetic	PF00899		ThiF family
Other Biosynthetic	PF01557		Fumarylacetoacetate (FAA) hydrolase family
Other Biosynthetic	PF01012		Electron transfer flavoprotein domain
Other Biosynthetic	PF02463		RecF/RecN/SMC N terminal domain
Other Biosynthetic	PF04820		Tryptophan halogenase
Other Biosynthetic	PF00132		Bacterial transferase hexapeptide (three repeats)
Other Biosynthetic	PF00891		O-methyltransferase
Other Biosynthetic	PF00291		Pyridoxal-phosphate dependent enzyme
Other Biosynthetic	PF04909		Amidohydrolase
Other Biosynthetic	PF02627		Carboxymuconolactone decarboxylase family
Other Biosynthetic	PF00823		PPE family
Other Biosynthetic	PF02348		Cytidylyltransferase
Other Biosynthetic	PF03621		MbtH-like protein
Other Biosynthetic	PF01040		UbiA prenyltransferase family
Other Biosynthetic	PF00205		Thiamine pyrophosphate enzyme, central domain
Other Biosynthetic	PF00753		Metallo-beta-lactamase superfamily
Other Biosynthetic	PF08282		haloacid dehalogenase-like hydrolase
Other Biosynthetic	PF02470		mce related protein
Other Biosynthetic	PF00149		Calcineurin-like phosphoesterase
Other Biosynthetic	PF02254		TrkA-N domain
Other Biosynthetic	PF00724		NADH flavin oxidoreductase / NADH oxidase family
Other Biosynthetic	PF12418		Acyl-CoA dehydrogenase N terminal
Other Biosynthetic	PF01569		PAP2 superfamily
Other Biosynthetic	PF06013		Proteins of 100 residues with WXG
Other Biosynthetic	PF00884		Sulfatase
Other Biosynthetic	PF00487		Fatty acid desaturase
Other Biosynthetic	PF02585		GlcNAc-PI de-N-acetylase
Other Biosynthetic	PF02353		Cyclopropane-fatty-acyl-phospholipid synthase
Other Biosynthetic	PF01501		Glycosyl transferase family 8
Other Biosynthetic	PF06293		Lipopolysaccharide kinase (Kdo/WaaP) family
Other Biosynthetic	PF00175		Oxidoreductase NAD-binding domain
Other Biosynthetic	PF07670		Nucleoside recognition
Other Biosynthetic	PF01039		Carboxyl transferase domain
Other Biosynthetic	PF03460		Nitrite/Sulfite reductase ferredoxin-like half domain
Other Biosynthetic	PF01077		Nitrite and sulphite reductase 4Fe-4S domain
Other Biosynthetic	PF08540		Hydroxymethylglutaryl-coenzyme A synthase C terminal
Other Biosynthetic	PF07993		Male sterility protein
Other Biosynthetic	PF00432		Prenyltransferase and squalene oxidase repeat
Other Biosynthetic	PF00685		Sulfotransferase domain
Other Biosynthetic	PF03992		Antibiotic biosynthesis monooxygenase
Other Biosynthetic	PF08990		Erythronolide synthase docking
Other Biosynthetic	PF01261		Xylose isomerase-like TIM barrel
Other Biosynthetic	PF02618		YceG-like family
Other Biosynthetic	PF00970		Oxidoreductase FAD-binding domain
Other Biosynthetic	PF00310		Glutamine amidotransferases class-II
Other Biosynthetic	PF05159		Capsule polysaccharide biosynthesis protein
Other Biosynthetic	PF01507		Phosphoadenosine phosphosulfate reductase family
Other Biosynthetic	PF03102		NeuB family
Other Biosynthetic	PF12229		Putative peptidoglycan binding domain
Other Biosynthetic	PF00117		Glutamine amidotransferase class-I
Other Biosynthetic	PF00278		Pyridoxal-dependent decarboxylase, C-terminal sheet domain
Other Biosynthetic	PF11127		Protein of unknown function (DUF2892)
Other Biosynthetic	PF00300		Phosphoglycerate mutase family
Other Biosynthetic	PF00817		impB/mucB/samB family
Other Biosynthetic	PF01738		Dienelactone hydrolase family
Other Biosynthetic	PF01380		SIS domain
Other Biosynthetic	PF00657		GDSL-like Lipase/Acylhydrolase
Other Biosynthetic	PF04230		Polysaccharide pyruvyl transferase
Other Biosynthetic	PF02784		Pyridoxal-dependent decarboxylase, pyridoxal binding domain
Other Biosynthetic	PF11799		impB/mucB/samB family C-terminal
Other Biosynthetic	PF04101		Glycosyltransferase family 28 C-terminal domain
Other Biosynthetic	PF08666		SAF domain
Other Biosynthetic	PF11887		Protein of unknown function (DUF3407)
Other Biosynthetic	PF11794		4-hydroxyphenylacetate 3-hydroxylase N terminal
Other Biosynthetic	PF02515		CoA-transferase family III
Other Biosynthetic	PF01212		Beta-eliminating lyase
Other Biosynthetic	PF06902		Protein of unknown function (DUF1271)
Other Biosynthetic	PF03358		NADPH-dependent FMN reductase
Other Biosynthetic	PF03241		4-hydroxyphenylacetate 3-hydroxylase C terminal
Other Biosynthetic	PF01063		Aminotransferase class IV
Other Biosynthetic	PF00128		Alpha amylase, catalytic domain
Other Biosynthetic	PF05721		Phytanoyl-CoA dioxygenase (PhyH)
Other Biosynthetic	PF01188		Mandelate racemase / muconate lactonizing enzyme, C-terminal domain
Other Biosynthetic	PF04464		CDP-Glycerol Poly(glycerophosphate) glycerophosphotransferase
Other Biosynthetic	PF00156		Phosphoribosyl transferase domain
Other Biosynthetic	PF11798		IMS family HHH motif
Other Biosynthetic	PF01583		Adenylylsulphate kinase
Other Biosynthetic	PF11862		Domain of unknown function (DUF3382)
Other Biosynthetic	PF01154		Hydroxymethylglutaryl-coenzyme A synthase N terminal
Other Biosynthetic	PF00696		Amino acid kinase family
Other Biosynthetic	PF00239		Resolvase, N terminal domain
Other Biosynthetic	PF01467		Cytidylyltransferase
Other Biosynthetic	PF09397		Ftsk gamma domain
Other Biosynthetic	PF02779		Transketolase, pyrimidine binding domain
Other Biosynthetic	PF00459		Inositol monophosphatase family
Other Biosynthetic	PF06414		Zeta toxin
Other Biosynthetic	PF07366		SnoaL-like polyketide cyclase
Other Biosynthetic	PF11066		Protein of unknown function (DUF2867)
Other Biosynthetic	PF00456		Transketolase, thiamine diphosphate binding domain
Other Biosynthetic	PF00364		Biotin-requiring enzyme
Other Biosynthetic	PF01522		Polysaccharide deacetylase
Other Biosynthetic	PF00009		Elongation factor Tu GTP binding domain
Other Biosynthetic	PF08021		Siderophore-interacting FAD-binding domain
Other Biosynthetic	PF11700		Vacuole effluxer Atg22 like
Other Biosynthetic	PF02780		Transketolase, C-terminal domain
Other Biosynthetic	PF04954		Siderophore-interacting protein
Other Biosynthetic	PF06251		SLBB-domain like (DUF1017)
Other Biosynthetic	PF02880		Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III
Other Biosynthetic	PF00766		Electron transfer flavoprotein FAD-binding domain
Other Biosynthetic	PF02878		Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I
Other Biosynthetic	PF02879		Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II
Other Biosynthetic	PF10331		Siderophore biosynthesis protein domain
Other Biosynthetic	PF12320		Type 5 capsule protein repressor C terminal
Other Biosynthetic	PF11396		Protein of unknown function (DUF2874)
Other Biosynthetic	PF03435		Saccharopine dehydrogenase
Other Biosynthetic	PF03706		Uncharacterised protein family (UPF0104)
Other Biosynthetic	PF04138		GtrA-like protein
Other Biosynthetic	PF00977		Histidine biosynthesis protein
Other Biosynthetic	PF00408		Phosphoglucomutase/phosphomannomutase, C-terminal domain
Other Biosynthetic	PF04199		Putative cyclase
Other Biosynthetic	PF01935		Domain of unknown function DUF87
Other Biosynthetic	PF01134		Glucose inhibited division protein A
Other Biosynthetic	PF01488		Shikimate / quinate 5-dehydrogenase
Other Biosynthetic	PF01810		LysE type translocator
Other Biosynthetic	PF00294		pfkB family carbohydrate kinase
Other Biosynthetic	PF01946		Thi4 family
Other Biosynthetic	PF03279		Bacterial lipid A biosynthesis acyltransferase
Other Biosynthetic	PF01425		Amidase
Other Biosynthetic	PF03328		HpcH/HpaI aldolase/citrate lyase family
Other Biosynthetic	PF09199		Domain of unknown function (DUF1954)
Other Biosynthetic	PF01872		RibD C-terminal domain
Other Biosynthetic	PF00282		Pyridoxal-dependent decarboxylase conserved domain
Other Biosynthetic	PF07683		Cobalamin synthesis protein cobW C-terminal domain
Other Biosynthetic	PF01774		UreD urease accessory protein
Other Biosynthetic	PF01209		ubiE/COQ5 methyltransferase family
Other Biosynthetic	PF02525		Flavodoxin-like fold
Other Biosynthetic	PF05237		MoeZ/MoeB domain
Other Biosynthetic	PF02311		AraC-like ligand binding domain
Other Biosynthetic	PF00245		Alkaline phosphatase
Other Biosynthetic	PF08028		Acyl-CoA dehydrogenase, C-terminal domain
Other Biosynthetic	PF08484		C-methyltransferase
Other Biosynthetic	PF02786		Carbamoyl-phosphate synthase L chain, ATP binding domain
Other Biosynthetic	PF01243		Pyridoxamine 5'-phosphate oxidase
Other Biosynthetic	PF01048		Phosphorylase superfamily
Other Biosynthetic	PF08450		SMP-30/Gluconolaconase/LRE-like region
Other Biosynthetic	PF02514		CobN/Magnesium Chelatase
Other Biosynthetic	PF00581		Rhodanese-like domain
Other Biosynthetic	PF01590		GAF domain
Other Biosynthetic	PF01925		Sulfite exporter TauE/SafE
Other Biosynthetic	PF08544		GHMP kinases C terminal
Other Biosynthetic	PF03403		isoform II
Other Biosynthetic	PF02746		Mandelate racemase / muconate lactonizing enzyme, N-terminal domain
Other Biosynthetic	PF11583		P-aminobenzoate N-oxygenase AurF
Other Biosynthetic	PF12484		Polymorphic PE/PPE proteins C terminal
Other Biosynthetic	PF08501		Shikimate dehydrogenase substrate binding domain
Other Biosynthetic	PF07969		Amidohydrolase family
Other Biosynthetic	PF04116		Fatty acid hydroxylase superfamily
Other Biosynthetic	PF07681		DoxX
Other Biosynthetic	PF06968		Biotin and Thiamin Synthesis associated domain
Other Biosynthetic	PF01734		Patatin-like phospholipase
Other Biosynthetic	PF01118		Semialdehyde dehydrogenase, NAD binding domain
Other Biosynthetic	PF02634		FdhD/NarQ family
Other Biosynthetic	PF00135		Carboxylesterase
Other Biosynthetic	PF05690		Thiazole biosynthesis protein ThiG
Other Biosynthetic	PF00547		Urease, gamma subunit
Other Biosynthetic	PF00699		Urease beta subunit
Other Biosynthetic	PF04140		Isoprenylcysteine carboxyl methyltransferase (ICMT) family
Other Biosynthetic	PF06722		Protein of unknown function (DUF1205)
Other Biosynthetic	PF02129		X-Pro dipeptidyl-peptidase (S15 family)
Other Biosynthetic	PF04216		Protein involved in formate dehydrogenase formation
Other Biosynthetic	PF08437		Glycosyl transferase family 8 C-terminal
Other Biosynthetic	PF11575		FhuF 2Fe-2S C-terminal domain
Other Biosynthetic	PF11102		Protein of unknown function (DUF2886)
Other Biosynthetic	PF01730		UreF
Other Biosynthetic	PF00449		Urease alpha-subunit, N-terminal domain
Other Biosynthetic	PF00652		Ricin-type beta-trefoil lectin domain
Other Biosynthetic	PF03807		NADP oxidoreductase coenzyme F420-dependent
Other Biosynthetic	PF11806		Domain of unknown function (DUF3327)
Other Biosynthetic	PF02554		Carbon starvation protein CstA
Other Biosynthetic	PF00368		Hydroxymethylglutaryl-coenzyme A reductase
Other Biosynthetic	PF03007		Uncharacterised protein family (UPF0089)
Other Biosynthetic	PF12242		NAD(P)H binding domain of trans-2-enoyl-CoA reductase
Other Biosynthetic	PF11924		Protein of unknown function (DUF3442)
Other Biosynthetic	PF02597		ThiS family
Other Biosynthetic	PF12241		Trans-2-enoyl-CoA reductase catalytic region
Other Biosynthetic	PF07968		Leukocidin/Hemolysin toxin family
Other Biosynthetic	PF01128		Uncharacterized protein family UPF0007
Other Biosynthetic	PF08421		Hypothetical methyltransferase
Other Biosynthetic	PF03275		UDP-galactopyranose mutase
Other Biosynthetic	PF04413		3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase)
Other Biosynthetic	PF01323		DSBA-like thioredoxin domain
Other Biosynthetic	PF03301		Tryptophan 2,3-dioxygenase
Other Biosynthetic	PF02423		Ornithine cyclodeaminase/mu-crystallin family
Other Biosynthetic	PF01596		O-methyltransferase
Other Biosynthetic	PF07055		Enoyl reductase FAD binding domain
Other Biosynthetic	PF00150		Cellulase (glycosyl hydrolase family 5)
Other Biosynthetic	PF01761		3-dehydroquinate synthase
Other Biosynthetic	PF00210		Ferritin-like domain
Other Biosynthetic	PF07478		D-ala D-ala ligase C-terminus
Other Biosynthetic	PF02540		NAD synthase
Other Biosynthetic	PF00289		Carbamoyl-phosphate synthase L chain, N-terminal domain
Other Biosynthetic	PF04600		Protein of unknown function (DUF571)
Other Biosynthetic	PF00085		Thioredoxin
Other Biosynthetic	PF02624		YcaO-like family
Other Biosynthetic	PF00933		Glycosyl hydrolase family 3 N terminal domain
Other Biosynthetic	PF03567		Sulfotransferase family
Other Biosynthetic	PF07398		MDMPI C-terminal domain
Other Biosynthetic	PF02558		Ketopantoate reductase PanE/ApbA
Other Biosynthetic	PF07332		Protein of unknown function (DUF1469)
Other Biosynthetic	PF04294		VanW like protein
Other Biosynthetic	PF09084		NMT1/THI5 like
Other Biosynthetic	PF05108		Protein of unknown function (DUF690)
Other Biosynthetic	PF00383		Cytidine and deoxycytidylate deaminase zinc-binding region
Other Biosynthetic	PF00551		Formyl transferase
Other Biosynthetic	PF01510		N-acetylmuramoyl-L-alanine amidase
Other Biosynthetic	PF08310		LGFP repeat
Other Biosynthetic	PF01464		Transglycosylase SLT domain
Other Biosynthetic	PF02080		TrkA-C domain
Other Biosynthetic	PF02543		Carbamoyltransferase
Other Biosynthetic	PF11187		Protein of unknown function (DUF2974)
Other Biosynthetic	PF02922		Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
Other Biosynthetic	PF02698		DUF218 domain
Other Biosynthetic	PF01123		Staphylococcal/Streptococcal toxin, OB-fold domain
Other Biosynthetic	PF06738		Protein of unknown function (DUF1212)
Other Biosynthetic	PF11306		Protein of unknown function (DUF3108)
Other Biosynthetic	PF04738		Lantibiotic dehydratase, C terminus
Other Biosynthetic	PF12277		Protein of unknown function (DUF3618)
Other Biosynthetic	PF05523		WxcM-like, C-terminal
Other Biosynthetic	PF08546		Ketopantoate reductase PanE/ApbA C terminal
Other Biosynthetic	PF04149		Domain of unknown function (DUF397)
Other Biosynthetic	PF04328		Protein of unknown function (DUF466)
Other Biosynthetic	PF04075		Domain of unknown function (DUF385)
Other Biosynthetic	PF01642		Methylmalonyl-CoA mutase
Other Biosynthetic	PF01842		ACT domain
Other Biosynthetic	PF05935		Arylsulfotransferase (ASST)
Other Biosynthetic	PF08386		TAP-like protein
Other Biosynthetic	PF01083		Cutinase
Other Biosynthetic	PF08031		Berberine and berberine like
Other Biosynthetic	PF01794		Ferric reductase like transmembrane component
Other Biosynthetic	PF02223		Thymidylate kinase
Other Biosynthetic	PF00450		Serine carboxypeptidase
Other Biosynthetic	PF01663		Type I phosphodiesterase / nucleotide pyrophosphatase
Other Biosynthetic	PF03559		NDP-hexose 2,3-dehydratase
Other Biosynthetic	PF07587		Protein of unknown function (DUF1553)
Other Biosynthetic	PF06969		HemN C-terminal region
Other Biosynthetic	PF03486		HI0933-like protein
Other Biosynthetic	PF04978		Protein of unknown function (DUF664)
Other Biosynthetic	PF00478		IMP dehydrogenase / GMP reductase domain
Other Biosynthetic	PF03808		Glycosyl transferase WecB/TagA/CpsF family
Other Biosynthetic	PF01078		Magnesium chelatase, subunit ChlI
Other Biosynthetic	PF09335		SNARE associated Golgi protein
Other Biosynthetic	PF11139		Protein of unknown function (DUF2910)
Other Biosynthetic	PF03734		L,D-transpeptidase catalytic domain
Other Biosynthetic	PF01202		Shikimate kinase
Other Biosynthetic	PF07485		Domain of Unknown Function (DUF1259)
Other Biosynthetic	PF01207		Dihydrouridine synthase (Dus)
Other Biosynthetic	PF02579		Dinitrogenase iron-molybdenum cofactor
Other Biosynthetic	PF08645		Polynucleotide kinase 3 phosphatase
Other Biosynthetic	PF07583		Protein of unknown function (DUF1549)
Other Biosynthetic	PF10947		Protein of unknown function (DUF2628)
Other Biosynthetic	PF04389		Peptidase family M28
Other Biosynthetic	PF05305		Protein of unknown function (DUF732)
Other Biosynthetic	PF02814		UreE urease accessory protein, N-terminal domain
Other Biosynthetic	PF01474		Class-II DAHP synthetase family
Other Biosynthetic	PF01144		Coenzyme A transferase
Other Biosynthetic	PF00351		Biopterin-dependent aromatic amino acid hydroxylase
Other Biosynthetic	PF02211		Nitrile hydratase beta subunit
Other Biosynthetic	PF07635		Planctomycete cytochrome C
Other Biosynthetic	PF10824		Protein of unknown function (DUF2580)
Other Biosynthetic	PF07819		PGAP1-like protein
Other Biosynthetic	PF05194		UreE urease accessory protein, C-terminal domain
Other Biosynthetic	PF00391		PEP-utilising enzyme, mobile domain
Other Biosynthetic	PF02811		PHP domain
Other Biosynthetic	PF00905		Penicillin binding protein transpeptidase domain
Other Biosynthetic	PF02774		Semialdehyde dehydrogenase, dimerisation domain
Other Biosynthetic	PF11965		Domain of unknown function (DUF3479)
Other Biosynthetic	PF03364		Polyketide cyclase / dehydrase and lipid transport
Other Biosynthetic	PF00556		Antenna complex alpha/beta subunit
Other Biosynthetic	PF06130		Propanediol utilisation protein PduL
Other Biosynthetic	PF01242		6-pyruvoyl tetrahydropterin synthase
Other Biosynthetic	PF05711		Macrocin-O-methyltransferase (TylF)
Other Biosynthetic	PF01113		Dihydrodipicolinate reductase, N-terminus
Other Biosynthetic	PF01262		Alanine dehydrogenase/PNT, C-terminal domain
Other Biosynthetic	PF01180		Dihydroorotate dehydrogenase
Other Biosynthetic	PF12147		Putative lysophospholipase
Other Biosynthetic	PF05222		Alanine dehydrogenase/PNT, N-terminal domain
Other Biosynthetic	PF04737		Lantibiotic dehydratase, N terminus
Other Biosynthetic	PF02910		domain
Other Biosynthetic	PF04672		Protein of unknown function (DUF574)
Other Biosynthetic	PF01135		Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
Other Biosynthetic	PF02574		Homocysteine S-methyltransferase
Other Biosynthetic	PF10995		Protein of unknown function (DUF2819)
Other Biosynthetic	PF11738		Protein of unknown function (DUF3298)
Other Biosynthetic	PF08485		Polysaccharide biosynthesis protein C-terminal
Other Biosynthetic	PF01326		Pyruvate phosphate dikinase, PEP/pyruvate binding domain
Other Biosynthetic	PF00413		Matrixin
Other Biosynthetic	PF02274		Amidinotransferase
Other Biosynthetic	PF00384		Molybdopterin oxidoreductase
Other Biosynthetic	PF00448		SRP54-type protein, GTPase domain
Other Biosynthetic	PF01451		Low molecular weight phosphotyrosine protein phosphatase
Other Biosynthetic	PF03029		Conserved hypothetical ATP binding protein
Other Biosynthetic	PF02785		Biotin carboxylase C-terminal domain
Other Biosynthetic	PF02913		FAD linked oxidases, C-terminal domain
Other Biosynthetic	PF01717		Cobalamin-independent synthase, Catalytic domain
Other Biosynthetic	PF01568		Molydopterin dinucleotide binding domain
Other Biosynthetic	PF11658		Protein of unknown function (DUF3260)
Other Biosynthetic	PF02390		Putative methyltransferase
Other Biosynthetic	PF01645		Conserved region in glutamate synthase
Other Biosynthetic	PF00015		Methyl-accepting chemotaxis protein (MCP) signaling domain
Other Biosynthetic	PF08369		Proto-chlorophyllide reductase 57 kD subunit
Other Biosynthetic	PF11890		Domain of unknown function (DUF3410)
Other Biosynthetic	PF05834		Lycopene cyclase protein
Other Biosynthetic	PF00208		Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
Other Biosynthetic	PF00221		Phenylalanine and histidine ammonia-lyase
Other Biosynthetic	PF03737		Demethylmenaquinone methyltransferase
Other Biosynthetic	PF01820		D-ala D-ala ligase N-terminus
Other Biosynthetic	PF08323		Starch synthase catalytic domain
Other Biosynthetic	PF01814		Hemerythrin HHE cation binding domain
Other Biosynthetic	PF01168		Alanine racemase, N-terminal domain
Other Biosynthetic	PF00464		Serine hydroxymethyltransferase
Other Biosynthetic	PF05331		Protein of unknown function (DUF742)
